ds,Venda Mensal Real
2011-01-31,138241.30041999993
2011-02-28,134969.94086000018
2011-03-31,171455.59371999983
2011-04-30,128833.47033999999
2011-05-31,148146.72092
2011-06-30,189338.43966000012
2011-07-31,162034.69756000006
2011-08-31,219223.4952399999
2011-09-30,255237.8969800001
2011-10-31,204675.07846000008
2011-11-30,214934.29385999974
2011-12-31,292359.96752000065
2012-01-31,162800.89338000017
2012-02-29,152661.15144000007
2012-03-31,201608.72784
2012-04-30,187469.96191999997
2012-05-31,218960.1604199997
2012-06-30,249289.77172000028
2012-07-31,174394.02807999987
2012-08-31,271669.66086000006
2012-09-30,256567.85308000032
2012-10-31,239321.09904000023
2012-11-30,270723.05356000003
2012-12-31,291972.33306000056
2013-01-31,206459.19581999988
2013-02-28,191062.77215999982
2013-03-31,230547.79468000022
2013-04-30,233181.34844000018
2013-05-31,304509.96336000046
2013-06-30,341162.34370000014
2013-07-31,223642.6566400001
2013-08-31,323876.6071600002
2013-09-30,326897.27044000017
2013-10-31,270121.8757000001
2013-11-30,383039.2124799998
2013-12-31,371245.4088000007
2014-01-31,268265.5224000002
2014-02-28,244159.30486
2014-03-31,347720.96868000116
2014-04-30,302132.5400000004
2014-05-31,304798.83603999973
2014-06-30,372577.2329799997
2014-07-31,278672.1732600005
2014-08-31,432731.0419400005
2014-09-30,405436.7058400003
2014-10-31,406659.41500000015
2014-11-30,508954.7315600006
2014-12-31,427757.397999999
