ds,Venda Mensal Real,Previsão Mensal
2011-01-31,138241.30041999993,116586.67831330313
2011-02-28,134969.94086000018,110686.08525093888
2011-03-31,171455.59371999983,176055.96106595694
2011-04-30,128833.47033999999,134809.14961207757
2011-05-31,148146.72092,157929.5964299414
2011-06-30,189338.43966000012,199174.5500461966
2011-07-31,162034.69756000006,155331.78588633955
2011-08-31,219223.4952399999,214942.4423404893
2011-09-30,255237.8969800001,245980.7495853242
2011-10-31,204675.07846000008,187356.93643838706
2011-11-30,214934.29385999974,216223.9923657283
2011-12-31,292359.96752000065,279790.18591590825
2012-01-31,162800.89338000017,162552.63400176814
2012-02-29,152661.15144000007,150385.5582623207
2012-03-31,201608.72784,199398.1857927034
2012-04-30,187469.96191999997,190457.81594237062
2012-05-31,218960.1604199997,236629.39053194117
2012-06-30,249289.77172000028,268865.1729537854
2012-07-31,174394.02807999987,171655.33638667737
2012-08-31,271669.66086000006,277074.18925995886
2012-09-30,256567.85308000032,266545.0488426128
2012-10-31,239321.09904000023,238358.24738136778
2012-11-30,270723.05356000003,308410.6048599842
2012-12-31,291972.33306000056,309872.44555367343
2013-01-31,206459.19581999988,225317.6683026182
2013-02-28,191062.77215999982,203818.0631850147
2013-03-31,230547.79468000022,258562.75463479006
2013-04-30,233181.34844000018,239020.77807540915
2013-05-31,304509.96336000046,277300.106399695
2013-06-30,341162.34370000014,312171.5989277487
2013-07-31,223642.6566400001,232861.27235979825
2013-08-31,323876.6071600002,323180.89471855015
2013-09-30,326897.27044000017,326583.553151397
2013-10-31,270121.8757000001,288486.26398745115
2013-11-30,383039.2124799998,344458.8569808063
2013-12-31,371245.4088000007,366531.1775684922
2014-01-31,268265.5224000002,271150.4191656504
2014-02-28,244159.30486,257407.86281294428
2014-03-31,347720.96868000116,317606.55756527366
2014-04-30,302132.5400000004,287290.93126444455
2014-05-31,304798.83603999973,317883.0467868878
2014-06-30,372577.2329799997,355759.51047906326
2014-07-31,278672.1732600005,294244.23254057363
2014-08-31,432731.0419400005,369291.7099455957
2014-09-30,405436.7058400003,386552.97809012025
2014-10-31,406659.41500000015,338306.09433698026
2014-11-30,508954.7315600006,380545.712075542
2014-12-31,427757.397999999,423324.9998345204
2015-01-31,0.0,317048.2317803653
2015-02-28,0.0,311147.6811223501
2015-03-31,0.0,376517.60388503893
2015-04-30,0.0,335270.8378642641
